User,Refunded by JPEG'd,ETH to recover,Haircut in %,,
0xe7af87c6c6ec02cc7ee98c3adc555e4231dce8f3,976.410869,156.046554,15.98164862%,,
0xcd14610e6ab9bdf20c674b1d6b47c4e4f4c641d8,408.418926,65.272078,15.98164862%,,
0xb2e583b8315dd01a02996e76f879c7e98d60b368,273.110891,43.647623,15.98164862%,,
0xd5203cb8ab0b4cc1296f9bdfdd548b3cc8749c7c,249.080674,39.807198,15.98164862%,,
0x562c0bc16a7bbe9fb73902694d3af8cb24aa3768,195.968581,31.319010,15.98164862%,,
0x17d879bfe7f6992fc5ca6b2bdd089f32c8670037,195.444620,31.235272,15.98164862%,,
0x799fdb02e49c5b77fddb4b271adf11bf42dca586,195.230000,31.200973,15.98164862%,,
0x32b487b44f4e7c6485209dbab4e985bea8dc0b06,190.158269,30.390426,15.98164862%,,
0xdacd3ad9fe68a29a4ae2b7a66599ceb784fafaad,78.892299,12.608290,15.98164862%,,
0x3cf54f3a1969be9916dad548f3c084331c4450b5,78.653974,12.570202,15.98164862%,,
0x5b23dab54350f1511fc7f11ea76d4f86c674f54c,45.007866,7.192999,15.98164862%,,
0x961e80dc2abb6ab037f95eacd5ab56ea9458bac2,29.188970,4.664879,15.98164862%,,
0xbaed5a2e8a9c3f2daa7332a90fea69f775ba9c80,17.683423,2.826102,15.98164862%,,
0x138dd537d56f2f2761a6fc0a2a0ace67d55480fe,15.725590,2.513208,15.98164862%,,
0x81324a39570bba1722a3cbe4a4cd372c24d084d4,10.522193,1.681620,15.98164862%,,
0xf8e7cfdd55538f81e7ed111fcf40482541261fb0,9.850031,1.574197,15.98164862%,,
0x0e119685190ca54b5bbf5e3504f447c5e40d2410,8.994067,1.437400,15.98164862%,,
0x5e767cd1ad0fec2f9c5eb580586d2abaa7dd776e,6.857518,1.095944,15.98164862%,,
0x943228378d4f29252ddd317faee5b86e01cff2b1,5.000799,0.799210,15.98164862%,,
0xe1cbebb0d2a6fc34e9c937bf7f1f44622aa03ec7,4.983221,0.796401,15.98164862%,,
0x5f162612b6efa5684734f0983b9e6173e48f90f2,4.927706,0.787529,15.98164862%,,
0x0e9d0c4ca23480bb1fd70337ad6dd8d925d13e43,3.759147,0.600774,15.98164862%,,
0x3474293f03f19fa94a97bd8f1c4da151d7b9aa80,3.002743,0.479888,15.98164862%,,
0xf1697c312e18ac80b9c17d280ad390e5277cc7ba,2.877088,0.459806,15.98164862%,,
0x9ce6d3d1c898d49937a2f3e135d146c88d07fce7,2.556569,0.408582,15.98164862%,,
0x14722fdbcb38d2be6e8a92093d7ffd54eedb26c2,2.418665,0.386543,15.98164862%,,
0x7cdf6cf29708b01c9e03908ede9026d980826a11,2.172001,0.347122,15.98164862%,,
0xa252e2455a33639fc1d35b4da1d3b854252d4dcf,1.307870,0.209019,15.98164862%,,
0xf1a905aa003ffdaf452e92396998457337499e64,0.801804,0.128141,15.98164862%,,
0x1c6fc195bc911277c370f4eb617702e76c36f29d,0.639126,0.102143,15.98164862%,,
0x2bdbe80bf94cc11f3c072788977feb258d89f8cb,0.134734,0.021533,15.98164862%,,
0xe66fbc8be19bd6b60a7fdc743a1019435ee0a04f,0.119561,0.019108,15.98164862%,,
